title,contentsid,address,imgpath,tags,introduction
"제주민속촌 놀멍쉬멍상대회","CNTS_300000000013647","제주특별자치도 서귀포시 표선면 표선리 40-1","https://api.cdn.visitjeju.net/photomng/imgpath/202507/25/1b3e0e8d-57e2-4c7e-8f62-058f779ca4d5.webp","제주여행, 8월축제, 명상대회, 전통체험, 서귀포여행"," ‘놀멍쉬멍..상’ 다례와 명상이 만나는 고요한 시간의 초대"
"펫트립in제주, 천지연폭포x제주현대미술관 교차 할인","CNTS_300000000013655","제주특별자치도 제주시 한경면 저지리 2114-63","https://api.cdn.visitjeju.net/photomng/imgpath/202507/31/d5d989c2-090d-4335-97b6-ad476feb5601.webp","펫트립in제주, 천지연폭포, 제주현대미술관, 개와고양이의시간, 할인혜택, 펫펨족, 전시팬,펫, 펫트립","펫트립in제주, 천지연폭포x제주현대미술관 교차 할인"
"북촌 큰 나무의 기억","CNTS_300000000013656","제주특별자치도 제주시 조천읍 북촌리 1371","https://api.cdn.visitjeju.net/photomng/imgpath/202507/31/c109771f-5ca3-4cd7-95f1-c527e7591c87.webp","북촌큰나무의기억, 2025신탐라문화가있는날, 폭낭, 제주북촌리 무료공연, 북촌마을","제주 북촌 마을에서 사람들과 함께 사는 큰 폭낭들과 연결되는 시간을 제공하는 문화의 날 공연으로 7월, 8월, 10월은 마지막주 금요일, 11월은 마지막주 토요일에 다채로운 공연으로 여러분을 찾아갑니다."
"2025 왕왕작작 골목상권 세일 페스타","CNTS_300000000013662","제주특별자치도 제주시 연동 1320","https://api.cdn.visitjeju.net/photomng/imgpath/202508/01/79c21e17-eb61-4e23-893c-23fdbcba3adc.webp","골목상권, 세일 페스타, 소비촉진, 할인 이벤트, 소비쿠폰","제주 시민과 관광객이 함께 즐기는 할인 축제"
"<물싸움 - 너무 오래된 전쟁> IN JEJU","CNTS_300000000013665","제주특별자치도 제주시 도두일동 2605-5","https://api.cdn.visitjeju.net/photomng/imgpath/202508/06/679dec6e-a894-44ed-82b1-f4feaaffc6c5.webp","물싸움, 공연, 연극, 워터밤 공연, 가족공연","온가족이 즐길 수 있는 넌버벌 워터밤 공연"
"2025 서귀포 국가유산 야행 ","CNTS_300000000013667","제주특별자치도 서귀포시 서홍동 689","https://api.cdn.visitjeju.net/photomng/imgpath/202508/06/d4a8ea32-4399-457b-9a4c-6831a98c3b94.webp","제주국가유산, 야행, 투어연극, 8야, 제주신화","야행 최초로 제주만이 갖고 있는 1만 8천 신들의 신화와 전설과 설화를 원형 그대로 살리는 흙과 바람, 공기와 물의 자연 가치를 담아낸 프로그램들로 구성되어 있습니다."
"제주특별자치도와 제주관광공사가 드리는 '가을여행 감사이벤트'","CNTS_300000000013680","","https://api.cdn.visitjeju.net/photomng/imgpath/202508/14/d1a9667c-0c8b-4f53-b41f-475c92fd5662.webp","제주도, 제주여행, 이벤트, 네이버페이, 티웨이항공, 제주항공, 제주가을여행","항공사 협업 특별 감사 프로모션"
"광복 80주년 기념 서귀포시 공영관광지 입장료 할인 이벤트","CNTS_300000000013681","","https://api.cdn.visitjeju.net/photomng/imgpath/202508/14/0f7764cb-c4d3-4dcf-bb52-7d84111d4ac0.webp","광복80주년, 공영관광지, 서귀포, 서귀포관내식당, 입장료할인","광복 80주년 기념 서귀포시 공영관광지 입장료 할인 이벤트"
"2025 Purple Festa in Jeju","CNTS_300000000013682","","https://api.cdn.visitjeju.net/photomng/imgpath/202508/14/5e8813b6-d3d2-43af-a4bb-8feab2b237c6.webp","제주한류, K-POP, K-DRAMA, 제주여행, K-WAVE","전 세계 한류를 사랑하는 팬들을 위한 축제"
"탐나오 썸머시즌오프 할인바다","CNTS_300000000013684","제주특별자치도 제주시 영평동 2170-4","https://api.cdn.visitjeju.net/photomng/imgpath/202508/14/122f2a07-f161-4934-ad99-6281adee05bf.webp","제주갈치요리할인, 제주숙소할인, 제주5성급호텔할인, 제주숙박, 제주할인","제주관광상품 최대 30% 할인"
"아트매핑 <I SEA U - 너를 보다, 바다>","CNTS_300000000013691","제주특별자치도 서귀포시 대정읍 보성리 2476-10 남영 b동110호","https://api.cdn.visitjeju.net/photomng/imgpath/202508/20/0a16da22-fa3a-4f00-8a84-c3209e17e328.webp","환경예술, 정크아트, 전시, 공연, 아트매핑, 업사이클아트","대정 유휴공간에서 펼쳐지는 환경예술잔치(전시, 공연)"
"서귀포예술의전당 공동기획 뮤지컬 다시,봄","CNTS_300000000013696","제주특별자치도 서귀포시 서홍동 551-1","https://api.cdn.visitjeju.net/photomng/imgpath/202508/20/951076a8-2a61-425b-bded-2856b0527148.webp","다시봄, 서귀포예술의전당, 뮤지컬, 구석구석문화배달, 서귀포문화생활, 서귀포공연","서귀포예술의전당 공동기획 뮤지컬 다시,봄"
"서귀포예술의전당 기획공연 2025 퀸 엘리자베스 콩쿠르 위너스 콘서트","CNTS_300000000013698","제주특별자치도 서귀포시 서홍동 551-1","https://api.cdn.visitjeju.net/photomng/imgpath/202508/20/9bf4737a-4e99-40a2-a76d-5b26ad8b4040.webp","퀸엘리자베스, 서귀포예술의전당, 니콜라미우센, 와타루히사스에, 서귀포문화생활, 서귀포공연","서귀포예술의전당 기획공연 2025 퀸 엘리자베스 콩쿠르 위너스 콘서트"
"2025 제주돌가마페스티발","CNTS_300000000013705","제주특별자치도 제주시 일도이동 852","https://api.cdn.visitjeju.net/photomng/imgpath/202508/22/d047947f-e0b1-4e5b-af87-b10207efd03f.webp","제주, 돌가마, 도예, 도자, 페스티발","제주돌가마에서 소성한 도예작품 전시"
"가족극 『두린왕자를 찾아줍서』","CNTS_300000000013724","제주특별자치도 제주시 연동 1370-3 에코파인 건물 지하 예술공간 오이","https://api.cdn.visitjeju.net/photomng/imgpath/202508/31/3bcf285f-b12a-437c-9209-762c4e105e0d.webp","예술공간오이, 공연,,,아주 어려움","다섯 비행사가 제주어로 들려주는 어린왕자 이야기"
"제4회 Join us 조천리 용천수 역사문화축제","CNTS_300000000013726","제주특별자치도 제주시 조천읍 조천리 2691","https://api.cdn.visitjeju.net/photomng/imgpath/202509/02/24124da5-b284-49e1-beee-47846fee0faf.webp","미션수행, 용천수해설, 광복80주년, 제주도립예술단, 김병만","용천수, 사람을 만나고 역사를 기억하다"
"제주문화예술진흥원 제31회 제주청년작가전","CNTS_300000000013729","제주특별자치도 제주시 일도이동 852","https://api.cdn.visitjeju.net/photomng/imgpath/202509/04/a3bd2d31-020e-4b36-ba9c-8ad840f5c0ff.webp","제주청년작가, 청년, 전시, 문화예술진흥원, 문예회관","제31회 제주청년작가 선정 작가 3인의 전시"
"국립제주호국원 사진 공모전 「찰칵! 국립제주호국원에서 발견한 순간!」","CNTS_300000000013738","제주특별자치도 제주시 노형동 산 19-3","https://api.cdn.visitjeju.net/photomng/imgpath/202509/08/fb73ea59-3e27-4a1d-9be1-99c9cfd98ec7.webp","국립제주호국원, 국가보훈부, 보훈, 사진공모전, 공모전","국립제주호국원의 모습이 담긴 사진을 공모하여 수상작을 선발"
"그림으로 세상과 만나다","CNTS_300000000013744","제주특별자치도 서귀포시 서홍동 551-1","https://api.cdn.visitjeju.net/photomng/imgpath/202509/08/d5434cbe-c282-4240-8d86-01d9a191f332.webp","서귀포전시, 서귀포예술의전당, 고동우, 고수빈, 김용원, 배주현, 이동우, 이진원","그림으로 세상과 만나다"
"무브먼트 코리아 인 서귀포","CNTS_300000000013748","제주특별자치도 서귀포시 서홍동 689","https://api.cdn.visitjeju.net/photomng/imgpath/202509/09/dc3fcb1f-c381-4a27-9c81-407e065203d8.webp","광개토예술단, 서귀포예술의전당, MBCREW,서귀포문화생활, 서귀포공연","무브먼트 코리아 인 서귀포"
"2025 제주 흑한우 브랜드 박람회","CNTS_300000000013753","제주특별자치도 서귀포시 법환동 914 ","https://api.cdn.visitjeju.net/photomng/imgpath/202509/10/18f932a2-55d9-49f3-b86b-34ee4ce4dd45.webp","흑한우, 제주, 월드컵경기장, 흑한우박람회, 제주축산업,,,단독접근가능,쉬움","청정 제주의 흑한우를 맛보고, 구매하는  것은 물론, 유명 셰프 요리회, 흑한우 요리 경연대회, 어린이 흑한우 사생대회 등의 프로그램이 진행됩니다. "
"제 8회 하하페스티벌","CNTS_300000000013762","제주특별자치도 제주시 일도일동 1211","https://api.cdn.visitjeju.net/photomng/imgpath/202509/12/2decba84-73b4-4615-aa30-903a1279eb14.webp","하하패스티벌, 일도이동, 산지천, 일도일동, 지역상생축제","다양한 문화공연 및 체험부스 운영 등을 통해 침체된 원도심에 활력을 불어넣고 골목 상권 활성화 및 주민 화합의 장 마련"
"제주에 스며드는 시간","CNTS_300000000013766","제주특별자치도 제주시 영평동 2170-4","https://api.cdn.visitjeju.net/photomng/imgpath/202509/16/1af1e362-3f39-47a1-817a-9eda46409cbf.webp","탐나오, 제주렌트카할인, 제주숙소할인, 제주관광지할인, 제주맛집할인","제주관광상품 최대 20% 할인"
"제14회 그린 로하스 엑스포 및 ESG 환경 포럼","CNTS_300000000013770","제주특별자치도 제주시 노형동 1534 제주한라컨벤션센터 1층 컨벤션홀","https://api.cdn.visitjeju.net/photomng/imgpath/202509/18/83df169c-c52d-4215-9e82-9298611a8217.webp","제주, 친환경, 녹색산업, 환경포럼, 제주친환경,,","제14회 그린 로하스 엑스포는 ESG와 친환경, 녹색산업을 주제로 친환경 기술·제품 전시와 체험, 환경 포럼을 통해 지속가능한 미래를 함께 고민하는 축제입니다."
"야크마을 로컬아티스트 전시전 <파노라마>","CNTS_300000000013776","제주특별자치도 서귀포시 색달동 1045 야크마을 본관1층 메인전시홀","https://api.cdn.visitjeju.net/photomng/imgpath/202509/17/b4ecc638-fa7c-44bf-bcbe-99c6496c39d8.webp","#제주#파노라마#야크마을#전시전,,영어,중국어,일본어,,단독접근가능,단차없음,저상버스 접근 가능,장애인 화장실,장애인 전용 주차장,수동 휠체어 대여 가능,쉬움","4th Local Artist : TRACE (Kyuri Kim) <파노라마 PANORAMA>"
"지붕 없는 도서관 X 작은책방 팝업스토어","CNTS_300000000013781","제주특별자치도 서귀포시 강정동 176","https://api.cdn.visitjeju.net/photomng/imgpath/202512/05/98884141-b5dd-4ac8-98a6-a20be4fa5815.webp","지붕없는도서관, 작은책방, 도서관행사, 공공도서관, 야외도서관","참여형 독서문화 확산을 위해 지역 내 작은책방와 함께 도서관 야외 독서행사 운영"
"2025 제4회 제주 한의약 웰니스 전시체험 박람회","CNTS_300000000013784","제주특별자치도 제주시 오라일동 2444-7 2층","https://api.cdn.visitjeju.net/photomng/imgpath/202509/19/726c6c34-41ea-46e5-89f4-921096c4dd44.webp","제주, 한의약, 웰니스, 전시, 박람회,,,장애인 화장실,장애인 전용 주차장","몸과 마음의 길을 찾다, 웰니스 내비게이션 / 한의약과 함께 걷는 웰니스의 길"
"제2회 한라생태숲 산림문화 행사(에코 IN(人) 포레스트! 숲, 사람을 품다)","CNTS_300000000013799","제주특별자치도 제주시 용강동 산 14-41","https://api.cdn.visitjeju.net/photomng/imgpath/202509/23/6d1fcf0a-dc41-4297-9f47-819b60b106e0.webp","산림문화, 생태체험, 자연과휴식, 힐링, 감성체험","추석 연휴 속 자연에서의 쉼과 위로를 나누는 생태 감성의 장"
"서귀포예술의전당 기획공연 <체코필하모닉 멤버 듀오 리사이틀 첼로&피아노>","CNTS_300000000013813","제주특별자치도 서귀포시 서홍동 551-1","https://api.cdn.visitjeju.net/photomng/imgpath/202510/01/676e3e04-ae99-4f50-842c-9dd3b9a3cd44.webp","체코필하모닉, 서귀포예술의전당, 클래식공연, 서귀포문화생활, 서귀포공연","서귀포예술의전당 기획공연 <체코필하모닉 멤버 듀오 리사이틀 첼로&피아노>"
"제2회 하원마을 천년문화·미래과학 축제","CNTS_300000000013823","제주특별자치도 서귀포시 하원동 산 70","https://api.cdn.visitjeju.net/photomng/imgpath/202510/13/832b40c9-b2aa-4e92-975d-3992a8cabcdc.webp","하원마을, 미래과학축제, 하원동, 문화축제, 역사문화","천년 역사와 문화의 하원, 미래 과학의 여정이 펼쳐집니다!"
"2025 저승차사와 원도심 유산투어","CNTS_300000000013824","제주특별자치도 제주시 삼도이동 30-1","https://api.cdn.visitjeju.net/photomng/imgpath/202510/14/fafb079a-81e7-4daf-9729-949cd7dd38da.webp","원도심, 유산투어, 제주목관아, 제주야행, 저승차사","저승차사 인턴이 되기 위한 오싹한 야행의 현장으로 여러분을 초대합니다!"
"2025 제주 친환경농산물 한마당","CNTS_300000000013829","제주특별자치도 제주시 도남동 663-1","https://api.cdn.visitjeju.net/photomng/imgpath/202510/14/85c6030c-b250-4360-9f5f-dd7a2d4d2475.webp","유기농, 무농약농산물, 친환경농업, 지구를 지키는 농부, 건강한 먹거리","친환경농법으로 지구를 지키는 농부와 그 가치를 알아주는 소비자가 함께 소통하는 공감의 공간"
"유아 문화예술교육 페스타 ⭐펠롱 펠롱 작은 별⭐","CNTS_300000000013832","제주특별자치도 서귀포시 중문동 2162 서귀포시 천제연로 164","https://api.cdn.visitjeju.net/photomng/imgpath/202510/16/787d453c-41bf-482f-b487-403e106770e2.webp","#문화예술교육 #펠롱펠롱작은별 #아이와함께 #체험형축제,,,단독접근가능,단차없음,장애인 화장실,승강기,쉬움","유아 문화예술교육 페스타 ⭐펠롱 펠롱 작은 별⭐ 프로그램 신청 안내"
"원도심 야간여행 '섬夜시즌' ","CNTS_300000000013843","제주특별자치도 서귀포시 서귀동 70 ","https://api.cdn.visitjeju.net/photomng/imgpath/202510/21/e48fd43c-e249-4930-9454-57e88b04459f.webp","제주관광협회, 야한 여행, 제주 원도심, 제주섬야, 섬야시즌,,,단독접근가능,쉬움","제주 원도심에서 펼쳐지는 야간 여행 축제"
"서귀포 꿈꾸는 예술터 개관 주간 <꿈꾸는 오늘, 예술이 되는 내일> 프로그램 안내","CNTS_300000000013848","제주특별자치도 서귀포시 중문동 2162 서귀포 꿈꾸는 예술터","https://api.cdn.visitjeju.net/photomng/imgpath/202510/22/af61483a-9b9d-4933-ad66-edbb0493a810.webp","예술터, 서귀포, 문화예술, 꿈꾸는 오늘, 제주행사,,,장애인 화장실,승강기,쉬움","서귀포 꿈꾸는 예술터 개관 주관 행사"
"2025년 삼도2동 문화의 거리 행사 '삼도2동 예술왓'","CNTS_300000000013853","제주특별자치도 제주시 삼도이동 108-15","https://api.cdn.visitjeju.net/photomng/imgpath/202510/23/938172f3-43d7-494b-a9a3-338b633cba0b.webp","삼도2동 문화의 거리, 입주작가, 삼도2동 예술왓, 삼도이동, 문화예술","삼도2동 문화의 거리 내 행사 개최! 삼도2동 예술왓으로 오세요~"
"탐라순력도에 투영된 제주의 관방시설과 물 문화유산","CNTS_300000000013873","제주특별자치도 제주시 일도일동 1243-1 고씨주택과 케왓","https://api.cdn.visitjeju.net/photomng/imgpath/202510/31/9ccf97da-3e54-4cd8-8a9a-2dacbef5b895.webp","제주특별자치도개발공사, 자연유산보존협회, 삼다수, 제주삼다수, 산지천,,,쉬움","탐라순력도에 그려진 연북정과 별방진성, 산지천을 걸으면서 제주의 물이 어떻게 사용되었는지 답사하는 홍보 및 일일체험프로그램입니다. "
"은평 청년작가 초대전 사이","CNTS_300000000013881","제주특별자치도 제주시 일도이동 852","https://api.cdn.visitjeju.net/photomng/imgpath/202511/06/264ff4b3-a591-46a0-a782-b83bb224796c.webp","청년작가, 전시, 미술, 예술, 은평","제주문화예술진흥원, 은평문화재단의 공동 주최로 은평 청년작가 3인의 작품 전시"
"2025년 장애예술축제-턴(TURN) <마주보다>","CNTS_300000000013884","제주특별자치도 제주시 아라일동 362-35 우리복지관","https://api.cdn.visitjeju.net/photomng/imgpath/202511/06/99ca1a3d-a020-4b0a-8589-f2a6c0e5c530.webp","장애예술축제,,,쉬움","장애예술가와 활동가들의 예술로 ‘마주보는 순간’을 함께해요 🎨💫"
"제2회 갯것이영화제 + 생태관광 개막식","CNTS_300000000013896","제주특별자치도 서귀포시 서홍동 551-1","https://api.cdn.visitjeju.net/photomng/imgpath/202511/07/f27235ce-bd64-4ad0-9b17-9c24e5da883f.webp","생태관광지원센터, 서귀포예술의전당, 갯것이영화제, 춤추는고래, 생태관광","‘제2회 갯것이영화제+생태관광’ 바다영화축제가 오는 11월 7일 6시 30분 개막식을 시작한다."
"제주소나이합창단 제2회 정기연주회","CNTS_300000000013897","제주특별자치도 서귀포시 서홍동 551-1","https://api.cdn.visitjeju.net/photomng/imgpath/202511/07/701440fe-f95f-472c-b243-6c9800dea01f.webp","정기연주회, 제주합창단, 소나이합창단, 남자합창단, 서귀포예술의전당","'찬양 선교'와 '제주어 보존 확대'를 위해 제주소나이합창단의 두번째 정기연주회를 앞두고 있다."
"오지학 피아노 독주회 ""소나타와 순간들: 삶의 빛과 어둠을 비추다""","CNTS_300000000013898","제주특별자치도 서귀포시 서홍동 551-1","https://api.cdn.visitjeju.net/photomng/imgpath/202511/07/404529b5-1a4f-464c-a44d-4827e632fe47.webp","오지학, 서귀포예술의전당, 제주대학교, 제주음악회, 독주회","“소나타와 순간들, 삶의 빛과 어둠을 비추다”"
"정미숙 7회 개인전(살아)","CNTS_300000000013899","제주특별자치도 서귀포시 서홍동 551-1","https://api.cdn.visitjeju.net/photomng/imgpath/202511/07/15f81401-4dad-4a7e-9754-633476d1b406.webp","정미숙, 서귀포예술의전당, 제주사진전, 정미숙개인전, 살아","제주 사진작가 정미숙의 일곱 번째 개인전 '살아, 한라산의 겨울'이 오는 11월 3일부터 12일까지 서귀포 예술의전당 전시실에서 열린다."
"2025 제주밭한끼 신기루맛집 체험단 모집","CNTS_300000000013906","제주특별자치도 제주시 구좌읍 평대리 3210-4","https://api.cdn.visitjeju.net/photomng/imgpath/202511/11/2828638d-0363-42cc-b81e-cd1ab2d064a3.webp","신기루맛집, 제주밭한끼, 신기루, 체험단, 제주체험단","제주의 밭작물로 만든 한상차림을 직접 평가해주세요!"
"2025년 제2회 '차 없는 거리' 걷기 행사","CNTS_300000000013907","제주특별자치도 제주시 오라일동 1006 애향운동장","https://api.cdn.visitjeju.net/photomng/imgpath/202511/12/139aca94-60d9-4838-bf0f-25d317d760e1.webp","차 없는 거리 축제, 애항운동장, 차없는거리, 걷기축제, 걷기행사,,,단독접근가능,장애인 화장실,장애인 전용 주차장,쉬움","2025 제2회 차없는 거리 걷기 행사 우리의 발걸음이 모여 제주의 내일이 됩니다. 11월30일, 다시 하나되어 걷습니다."
"제주, 어떤 빛","CNTS_300000000013912","제주특별자치도 서귀포시 서홍동 551-1","https://api.cdn.visitjeju.net/photomng/imgpath/202511/13/e3553ce6-4e76-46c5-9c57-006d7588a822.webp","서귀포예술의전당, 김승범, 사진전, 제주 사진전, 제주의 빛","김승범 사진전 제주, 어떤 빛’이 11월 14일(금)부터 16일(일)까지 서귀포예술의전당에서 개최됩니다."
"111기 로움리트릿","CNTS_300000000013958","제주특별자치도 제주시 한림읍 월령리 254-1 리벤시아호텔&풀빌라펜션","https://api.cdn.visitjeju.net/photomng/imgpath/202511/19/3372939e-d65c-4793-8399-5e7c7697019a.webp","로움리트릿, 제주요가, 리탐빌, 제주힐링, 아나타명상,,영어,,단독접근가능,청각장애인 접근성,시각장애인 접근성,저상버스 접근 가능,장애인 전용 주차장,쉬움","영국 Luxlife가 선정한 베스트 리트릿! 어떤 시도로도 해결되지 않던  마음의 문제가 비로소 해결되는 생애 가장 특별한 여정입니다."
"해녀와 영등 시즌2","CNTS_300000000014006","제주특별자치도 제주시 애월읍 광령리 2535","https://api.cdn.visitjeju.net/photomng/imgpath/202511/24/92c0ac86-8e3a-41f6-b4b7-ab2d18c83a53.webp","제주바다, 제주해녀, 제주관광대학교, 해녀와 영등, 제주뮤지컬","제주 바다, 삶의 숨이 되다."
"서귀포관악단 2025 청소년, 대학생 협주곡의 밤","CNTS_300000000014010","제주특별자치도 서귀포시 서홍동 551-1","https://api.cdn.visitjeju.net/photomng/imgpath/202511/27/54ed984f-4f24-4f74-84c7-7faad7773c42.webp","서귀포예술의전당, 서귀포관악당, 제주협주곡, 제주관악단","제주의 젊은 음악 인재들이 선보이는 특별한 무대가 서귀포예술의전당에서 펼쳐집니다!"
"전도 장애 학생·학부모·교사가 함께하는 미술 전시회 일상 그 너머의 기억과 변화 - 기후 변화와 제주 4.3, 그리고 우리 -","CNTS_300000000014011","제주특별자치도 제주시 일도이동 852","https://api.cdn.visitjeju.net/photomng/imgpath/202511/28/b1950a5b-fcd1-40e9-afd0-fd3553fa99ba.webp","장애학생, 전시, 미술, 예술","전도 장애학생과 학부모, 교사가 함께하는 미술 전시회"
"사랑나눔GEO페스타","CNTS_300000000014016","제주특별자치도 서귀포시 안덕면 사계리 126-1 플레이사계 일대","https://api.cdn.visitjeju.net/photomng/imgpath/202512/02/e1fc1822-ac47-4111-a631-a52a6e19e777.webp","사랑나눔GEO페스타, 산방산, 플레이사계, 용머리해안,,영어,,단독접근가능,단차없음,장애인 화장실,승강기,장애인 전용 주차장,쉬움","제주의 자연·문화·환경·나눔의 가치를 한자리에 모은 사랑나눔GEO페스타는 유네스코 세계지질공원 안덕면 일대를 배경으로 지역주민·관광객·학교·단체·상인이 함께 만드는 제주형 공존축제"